id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
7ynyU7I8T6aWEaKIOrKTxE,Chaaha Hai Tujhko,Udit Narayan,"['Udit Narayan', 'Anuradha Paudwal']",0.57,0.498,7,-10.864,0,0.76,8.09E-06,0.095,0.39,143.844,281000,4,166,19,993
0GwfWsDtA0SmcCD8X71nFf,Samajh Kar Chand Jis Ko,Vinod Rathod,"['Vinod Rathod', 'Alka Yagnik']",0.354,0.555,4,-9.81,0,0.651,4.23E-06,0.614,0.64,98.283,431920,4,174,24,1552
7n278iHoD21kun2OymTABC,Tumse Milne Ki Tamanna Hai,S. P. Balasubrahmanyam,['S. P. Balasubrahmanyam'],0.532,0.779,9,-11.326,0,0.241,0,0.154,0.671,119.735,329987,4,165,16,1245
3xGwSN1dDdpN2s8oP8DRrC,Dheere Dheere Se Meri Zindagi Mein Aana,Anuradha Paudwal,"['Anuradha Paudwal', 'Kumar Sanu']",0.477,0.636,8,-8.334,0,0.865,0.00226,0.208,0.707,84.547,329640,4,113,13,1235
646WEyOUsCWtVvI8BIMbeI,"Na Kajare Ki Dhar, Pt. 1 (With Jhankar Beats)",Pankaj Udhas,['Pankaj Udhas'],0.485,0.345,3,-8.763,1,0.759,0,0.381,0.411,108.407,76040,4,33,4,230
7ulfuNRotATxJYnWBIjvyl,Maahiya Teri Kasam - Sad Version,Lata Mangeshkar,['Lata Mangeshkar'],0.435,0.346,2,-12.194,1,0.412,7.15E-06,0.123,0.324,67.736,132653,4,36,7,438
1fWpI0NyM0SDXZpfxy73Kc,Pyaar To Hona Hi Tha,Jatin-Lalit,"['Jatin-Lalit', 'Remo Fernandes', 'Jaspinder Narula']",0.608,0.749,9,-5.763,1,0.425,2.65E-05,0.0969,0.537,117.081,187520,4,88,11,739
7f4ZIobvD66t9i2QQJfzit,Sochna Kya,Asha Bhosle,"['Asha Bhosle', 'Shabbir Kumar', 'Kumar Sanu']",0.661,0.683,9,-10.11,0,0.329,1.63E-06,0.325,0.905,117.488,310173,4,147,15,1082
5QJilYuxomLozb54CgdZB9,Hamen Jab Se Mohabbat,Sonu Nigam,"['Sonu Nigam', 'Alka Yagnik']",0.638,0.324,0,-10.616,1,0.838,0,0.0729,0.408,100.144,460987,4,188,24,1572
1MVjn7qcDOW4xx4tRnEiDx,Pehli Baar Mile Hain,S. P. Balasubrahmanyam,['S. P. Balasubrahmanyam'],0.554,0.735,9,-10.107,0,0.335,0,0.132,0.859,116.469,376093,4,180,14,1416
7ASCQHzZap5MJACzxjKQnK,Mausam Ka Jaadu,Lata Mangeshkar,"['Lata Mangeshkar', 'S. P. Balasubrahmanyam']",0.646,0.448,6,-17.248,1,0.774,1.73E-05,0.0745,0.856,88.639,303040,4,109,18,1197
7GEVFIpWpZJwGoMvVpow5a,Ae Mere Humsafar,Vinod Rathod,"['Vinod Rathod', 'Alka Yagnik']",0.342,0.833,9,-7.577,1,0.541,0.000116,0.0991,0.585,88.133,453653,4,165,22,1740
2XDcgHnXuTXBtcjlmcqGio,Too Cheez Badi Hain (With Jhankar Beats),Udit Narayan,"['Udit Narayan', 'Kavita Krishnamurthy']",0.65,0.932,10,-10.202,0,0.284,3.57E-05,0.166,0.68,169.043,385533,4,268,18,1606
38nEeQx99WlPSM9KUIaEid,Ek Sanam Chahiye Aashiqui Ke Liye,Anuradha Paudwal,['Anuradha Paudwal'],0.508,0.702,0,-7.044,1,0.823,0.00501,0.55,0.695,150.973,371696,3,309,19,1443
5zjFsuLrTM5sp6coribhCa,Taal Se Taal - Western Version,Sukhwinder Singh,['Sukhwinder Singh'],0.771,0.72,7,-11.742,1,0.203,0.0011,0.335,0.492,94.968,154200,4,58,6,588
56h75LnnsaBy4T8N8MSNgF,Baazigar O Baazigar,Kumar Sanu,"['Kumar Sanu', 'Alka Yagnik']",0.484,0.671,4,-10.248,0,0.52,2.35E-06,0.147,0.675,106.012,459267,4,200,18,1710
